Company_Name,Sector,Stage,Location,What_it_does,Funding_Amount($),Year,Investor,Redistributed_sector
Ontrack Technologies Pvt. Ltd,Retail,Seed,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,3000000.0,2018,Inflection Point Ventures,E-Commerce & Retail
Wealthtrust,Finance,Seed,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,500000.0,2018,Inflection Point Ventures,Finance
Faclon Labs,Cloud Computing,Seed,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,3000000.0,2018,Inflection Point Ventures,Technology & IT
Awign Enterprises,Business Development,Seed,Bangalore,Operations and manpower outsourcing startup,3000000.0,2018,Inflection Point Ventures,Consulting & Professional Services
CollPoll,Education,Seed,Bangalore,World-class Enterprise System for Education.,3000000.0,2018,Inflection Point Ventures,Education
Zyla Health,Health Care,Seed,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,3000000.0,2018,Inflection Point Ventures,Health & Medical
Hubhopper,Internet,Series A,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,500000.0,2018,Inflection Point Ventures,Others
Rubix108 Technologies,Information Technology,Seed,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,1000000.0,2018,Inflection Point Ventures,Technology & IT
Workflexi,Human Resources,Seed,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract",3000000.0,2018,Inflection Point Ventures,Human Resources
Streak,Financial Services,Seed,Bangalore,Algorithmic trading platform.,3000000.0,2018,Inflection Point Ventures,Finance
Kuants,Financial Services,Seed,Gurgaon,Algorithmic trading platform.,3000000.0,2018,Inflection Point Ventures,Finance
NiYO Solutions,Finance,Series A,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,13200000.0,2018,Inflection Point Ventures,Finance
Hippo Video,Customer Service,Seed,Chennai,A video recording and sharing software.,3000000.0,2018,Inflection Point Ventures,Consulting & Professional Services
Satvacart,E-Commerce,Seed,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket,3000000.0,2018,Inflection Point Ventures,E-Commerce & Retail
